lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
B.1.1.134,0,0.0,,1,9.999293399699719e-05,2024-03-07,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.144,0,0.0,,1,0.00012739538203887914,2025-03-04,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.160,0,0.0,,1,0.00026765828857347966,2023-06-22,1,0.0002832770750313996,2023-06-22,1,0.0003140141803624856,2023-06-22,0,0.0,,0,0.0,,0,0.0,
B.1.1.161,0,0.0,,3,0.005139194486291115,2023-05-18,1,0.0052883441651722825,2025-09-30,1,0.005862158306729331,2025-09-30,1,0.007136651622501033,2025-09-30,1,0.01013379186890021,2025-09-30,1,0.017898038119506313,2025-09-30
B.1.1.168,0,0.0,,1,0.0003772682794774855,2024-04-21,1,0.0003992831878366117,2024-04-21,1,0.0004426075881612951,2024-04-21,0,0.0,,0,0.0,,0,0.0,
B.1.1.169,0,0.0,,1,0.00013801122223883465,2023-04-17,1,0.00014606465417413273,2023-04-17,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.178,0,0.0,,3,0.000411057919185883,2023-12-04,2,0.00035445671508062206,2023-12-04,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.185,0,0.0,,2,0.00029275671838038846,2023-07-31,1,0.0002232829672439606,2023-12-28,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.192,0,0.0,,1,8.385486952828484e-05,2024-07-14,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.197,0,0.0,,3,0.0008817818287074659,2023-08-02,2,0.0008371943921064602,2023-08-02,1,0.0007472937505132752,2023-08-02,1,0.0009097630732631957,2023-08-02,0,0.0,,0,0.0,
B.1.1.203,0,0.0,,2,0.0002174726244479229,2023-08-02,1,0.0001593437052608932,2023-08-02,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.208,0,0.0,,1,9.600826761305134e-05,2024-07-14,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.216,0,0.0,,1,0.00021369537270151876,2023-07-02,1,0.00022616523646347867,2023-07-02,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.220,0,0.0,,1,0.00022117654243394418,2023-07-13,1,0.00023408295831289235,2023-07-13,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.237,0,0.0,,1,9.238397670921631e-05,2025-03-04,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.253,0,0.0,,2,0.00014343937790800373,2023-07-02,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.254,0,0.0,,1,0.00016561373166857222,2023-03-27,1,0.00017527786545354398,2023-03-27,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.26,0,0.0,,1,9.137307049111134e-05,2023-08-07,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.270,0,0.0,,1,0.0001090843329196898,2023-11-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.309,0,0.0,,2,0.0005710197841565482,2025-03-04,2,0.0006043407626307128,2025-03-04,1,0.0004344043912656263,2025-03-04,0,0.0,,0,0.0,,0,0.0,
B.1.1.324,0,0.0,,3,0.0004182120349210093,2023-04-04,1,0.0002555028249162158,2024-07-14,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.344,0,0.0,,1,6.916367286492181e-05,2024-09-29,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.349,0,0.0,,1,7.682251300868126e-05,2023-12-28,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.360,0,0.0,,2,0.0002206868557521466,2023-12-05,1,0.00016305041144835857,2023-12-28,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.362,0,0.0,,1,0.00013450623946729363,2023-03-16,1,0.0001423551435408201,2023-03-16,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.37,0,0.0,,1,0.0001324909853348578,2025-09-30,1,0.00014022229236283518,2025-09-30,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.386,0,0.0,,1,8.178469788242768e-05,2025-09-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
